Date,Category,Payment mode,Description,Amount,Cashback
2024-02-09,Transportation,UPI,Airline tickets for transportation,982.19,0
2024-02-09,Housing,Debit Card,Home decor purchases,764.59,0
2024-02-09,Healthcare,Cash,Health insurance premiums,953.41,0
2024-02-11,Transportation,Debit Card,Car repairs for transportation,1856.1,0
2024-02-11,Transportation,UPI,Toll charges for transportation,525.42,0
2024-02-11,Subscriptions,Debit Card,Learning app subscriptions,1865.99,0
2024-02-11,Housing,UPI,Pest control for housing,341.46,0
2024-02-11,Healthcare,UPI,Therapy sessions,826.56,0
2024-02-12,Entertainment,Cash,Karaoke nights,1229.18,0
2024-02-12,Entertainment,UPI,Museum or exhibition fees,862.97,0
2024-02-12,Food,UPI,Specialty groceries,1815.71,0
2024-02-12,Transportation,Cash,Ride-sharing app subscriptions,1001.8,0
2024-02-12,Housing,Debit Card,Garden maintenance for housing,1792.83,0
2024-02-13,Entertainment,Debit Card,Escape room tickets,1252.99,0
2024-02-13,Healthcare,Debit Card,Vaccinations for healthcare,311.25,0
2024-02-14,Transportation,UPI,Roadside assistance fees,1618.95,3
2024-02-14,Subscriptions,Cash,Audiobook subscriptions,1095.34,0
2024-02-14,Subscriptions,UPI,Subscription services for subscriptions,713.01,0
2024-02-14,Food,Cash,Catering services for food,807.36,0
2024-02-14,Food,UPI,Meat and seafood for food,1430.61,0
2024-02-14,Healthcare,Cash,Lab tests for healthcare,966.61,0
2024-02-14,Subscriptions,Debit Card,Software licenses for subscriptions,1740.42,0
2024-02-15,Food,Debit Card,Coffee shop purchases,1239.75,0
2024-02-15,Transportation,Cash,Vehicle insurance for transportation,1314.78,0
2024-02-15,Food,Cash,Takeout meals,887.27,0
2024-02-16,Transportation,Debit Card,Long-distance train tickets,1777.6,0
2024-02-17,Healthcare,UPI,Medical devices for healthcare,1111.39,0
2024-02-17,Subscriptions,UPI,Meal kit delivery services,944.92,0
2024-02-17,Healthcare,Debit Card,Physiotherapy sessions,369.52,0
2024-02-18,Transportation,Debit Card,Bike rental charges,1000.38,0
2024-02-18,Subscriptions,Cash,Learning app subscriptions,795.46,0
2024-02-18,Food,UPI,Snacks and beverages for food,242.36,5
2024-02-18,Transportation,Debit Card,Parking fees for transportation,1938.97,0
2024-02-19,Entertainment,UPI,Outdoor activities like hiking,1452.23,0
2024-02-19,Subscriptions,Debit Card,Audiobook subscriptions,824.55,0
2024-02-19,Entertainment,Debit Card,Camping gear for entertainment,1636.87,0
2024-02-19,Housing,Debit Card,Cleaning services for housing,1259.25,0
2024-02-19,Healthcare,Cash,Wellness retreat charges,846.57,0
2024-02-20,Healthcare,UPI,Alternative medicine expenses,1167.94,0
2024-02-20,Healthcare,Cash,Emergency medical expenses,532.61,0
2024-02-20,Transportation,Cash,Bicycle maintenance for transportation,1401.04,0
2024-02-20,Subscriptions,UPI,Audiobook subscriptions,1693.1,0
2024-02-20,Entertainment,Debit Card,Sports event tickets,1467.47,0
2024-02-20,Subscriptions,Cash,Subscription services for subscriptions,783.32,0
2024-02-21,Subscriptions,Cash,Cloud storage subscriptions,1285.31,0
2024-02-21,Housing,UPI,Renovations for housing,525.43,0
2024-02-21,Subscriptions,UPI,Language courses,301.59,0
2024-02-22,Food,UPI,Gourmet ingredients for food,1148.96,0
2024-02-22,Transportation,UPI,Car wash expenses,1258.39,0
2024-02-22,Entertainment,Debit Card,Sports event tickets,577.74,0
2024-02-23,Housing,Debit Card,Home insurance premiums,1609.75,0
2024-02-23,Subscriptions,Cash,Language courses,1541.11,0
2024-02-23,Subscriptions,UPI,Cloud storage subscriptions,1271.35,0
2024-02-24,Housing,UPI,Taxi or ride-sharing fares,350.86,0
2024-02-25,Subscriptions,UPI,Therapy sessions,1335.6,0
2024-02-25,Transportation,Debit Card,Car wash expenses,1352.7,0
2024-02-25,Healthcare,Debit Card,Pet food expenses,1807.36,0
2024-02-26,Food,Debit Card,Prescription renewals,1925.55,0
2024-02-26,Food,UPI,Frozen foods for food,534.51,0
2024-02-27,Healthcare,Cash,Utilities for housing,668.73,0
2024-02-27,Food,UPI,Frozen foods for food,1103.01,0
2024-02-27,Housing,Debit Card,Appliance repairs for housing,518.22,0
2024-02-27,Transportation,Cash,Car wash expenses,557.05,0
