Date,Category,Payment mode,Description,Amount,Cashback
2024-07-17,Healthcare,Cash,Doctor visits for healthcare,1496.68,0
2024-07-17,Entertainment,Cash,Movies for entertainment,539.45,0
2024-07-17,Entertainment,Debit Card,Movies for entertainment,1602.04,0
2024-07-17,Transportation,Cash,Fuel for transportation,1218.11,0
2024-07-18,Food,Cash,Groceries for food,415.96,0
2024-07-19,Food,Debit Card,Groceries for food,1513.93,0
2024-07-19,Food,UPI,Groceries for food,1074.53,0
2024-07-19,Transportation,Cash,Fuel for transportation,590.01,0
2024-07-20,Subscriptions,Debit Card,Subscription services for subscriptions,711.5,0
2024-07-20,Healthcare,Debit Card,Doctor visits for healthcare,1596.9,0
2024-07-20,Subscriptions,Cash,Subscription services for subscriptions,1957.5,0
2024-07-20,Food,UPI,Groceries for food,1285.44,4
2024-07-20,Transportation,Debit Card,Fuel for transportation,1620.66,0
2024-07-21,Subscriptions,UPI,Subscription services for subscriptions,648.13,0
2024-07-21,Housing,Cash,Rent for housing,764.47,0
2024-07-22,Housing,Cash,Rent for housing,1508.2,0
2024-07-22,Housing,UPI,Rent for housing,1271.82,0
2024-07-22,Entertainment,UPI,Movies for entertainment,1497.75,0
2024-07-22,Transportation,Debit Card,Fuel for transportation,1879.31,0
2024-07-22,Entertainment,Cash,Movies for entertainment,952.85,0
2024-07-22,Entertainment,UPI,Movies for entertainment,253.79,0
2024-07-22,Housing,UPI,Rent for housing,1303.57,0
2024-07-22,Transportation,UPI,Fuel for transportation,738.28,0
2024-07-23,Subscriptions,Cash,Subscription services for subscriptions,1865.52,0
2024-07-23,Housing,UPI,Rent for housing,1482.91,0
2024-07-23,Subscriptions,Debit Card,Subscription services for subscriptions,349.64,0
2024-07-23,Food,Cash,Groceries for food,1559.71,0
2024-07-23,Subscriptions,Cash,Subscription services for subscriptions,849.61,0
2024-07-23,Entertainment,UPI,Movies for entertainment,356.78,0
2024-07-24,Healthcare,UPI,Doctor visits for healthcare,821.61,0
2024-07-24,Subscriptions,Debit Card,Subscription services for subscriptions,883.71,0
2024-07-24,Subscriptions,UPI,Subscription services for subscriptions,1015.09,0
2024-07-24,Transportation,Debit Card,Fuel for transportation,1824.16,0
2024-07-25,Entertainment,Debit Card,Movies for entertainment,1095.74,0
2024-07-26,Housing,Cash,Rent for housing,713.51,0
2024-07-26,Transportation,Debit Card,Fuel for transportation,1602.33,0
2024-07-26,Housing,Cash,Rent for housing,792.48,0
2024-07-27,Subscriptions,Debit Card,Subscription services for subscriptions,577.84,0
2024-07-27,Subscriptions,Debit Card,Subscription services for subscriptions,1457.63,0
2024-07-27,Food,Debit Card,Groceries for food,1350.7,0
2024-07-27,Entertainment,UPI,Movies for entertainment,1693.83,2
2024-07-27,Entertainment,Debit Card,Movies for entertainment,720.36,0
2024-07-27,Subscriptions,UPI,Subscription services for subscriptions,834.99,0
