Date,Category,Payment mode,Description,Amount,Cashback
2024-05-12,Housing,Cash,Rent for housing,582.81,0
2024-05-13,Food,Cash,Groceries for food,1461.36,0
2024-05-13,Subscriptions,Debit Card,Subscription services for subscriptions,1535.66,0
2024-05-14,Food,Debit Card,Groceries for food,1791.3,0
2024-05-14,Housing,UPI,Rent for housing,1118.69,0
2024-05-14,Subscriptions,UPI,Subscription services for subscriptions,732.91,0
2024-05-15,Healthcare,UPI,Doctor visits for healthcare,1981.02,0
2024-05-15,Housing,UPI,Rent for housing,180.23,0
2024-05-15,Transportation,Debit Card,Fuel for transportation,735.47,0
2024-05-15,Healthcare,Debit Card,Doctor visits for healthcare,1452.38,0
2024-05-16,Entertainment,Cash,Movies for entertainment,117.27,0
2024-05-16,Subscriptions,Cash,Subscription services for subscriptions,755.1,0
2024-05-16,Entertainment,Debit Card,Movies for entertainment,683.49,0
2024-05-16,Healthcare,Cash,Doctor visits for healthcare,1762.58,0
2024-05-16,Entertainment,Debit Card,Movies for entertainment,911.17,0
2024-05-16,Housing,Debit Card,Rent for housing,939.15,0
2024-05-17,Healthcare,Cash,Doctor visits for healthcare,648.23,0
2024-05-17,Transportation,UPI,Fuel for transportation,830.15,5
2024-05-17,Housing,Cash,Rent for housing,550.53,0
2024-05-17,Entertainment,Cash,Movies for entertainment,1028.84,0
2024-05-17,Transportation,UPI,Fuel for transportation,205.81,0
2024-05-17,Food,Debit Card,Groceries for food,1589.53,0
2024-05-18,Food,Cash,Groceries for food,1601.38,0
2024-05-18,Entertainment,Cash,Movies for entertainment,772.66,0
2024-05-18,Food,Cash,Groceries for food,1755.49,0
2024-05-18,Subscriptions,UPI,Subscription services for subscriptions,915.3,0
2024-05-19,Healthcare,UPI,Doctor visits for healthcare,265.51,0
2024-05-19,Housing,UPI,Rent for housing,700.41,0
2024-05-19,Entertainment,Cash,Movies for entertainment,1499.17,0
2024-05-20,Healthcare,Cash,Doctor visits for healthcare,1611.14,0
2024-05-20,Food,Debit Card,Groceries for food,746.79,0
2024-05-20,Food,Debit Card,Groceries for food,190.45,0
2024-05-21,Entertainment,Debit Card,Movies for entertainment,1411.99,0
2024-05-22,Housing,UPI,Rent for housing,1591.3,0
2024-05-23,Subscriptions,Cash,Subscription services for subscriptions,815.77,0
2024-05-23,Transportation,Cash,Fuel for transportation,784.82,0
2024-05-23,Subscriptions,Debit Card,Subscription services for subscriptions,1626.92,0
2024-05-24,Healthcare,UPI,Doctor visits for healthcare,249.85,0
2024-05-24,Subscriptions,UPI,Subscription services for subscriptions,1594.99,0
2024-05-24,Transportation,Debit Card,Fuel for transportation,550.35,0
2024-05-24,Entertainment,UPI,Movies for entertainment,290.52,0
2024-05-25,Transportation,UPI,Fuel for transportation,1636.84,0
2024-05-25,Housing,Debit Card,Rent for housing,415.01,0
2024-05-25,Entertainment,UPI,Movies for entertainment,1017.58,0
2024-05-25,Subscriptions,UPI,Subscription services for subscriptions,1850.35,0
2024-05-26,Food,Debit Card,Groceries for food,311.77,0
2024-05-26,Housing,Cash,Rent for housing,442.54,0
2024-05-26,Food,UPI,Groceries for food,1262.61,3
2024-05-27,Food,Debit Card,Groceries for food,1635.76,0
2024-05-27,Subscriptions,UPI,Subscription services for subscriptions,1979.73,0
2024-05-27,Food,Debit Card,Groceries for food,1424.1,0
2024-05-27,Housing,Cash,Rent for housing,1582.55,0
2024-05-27,Transportation,UPI,Fuel for transportation,1162.34,0
