Date,Category,Payment mode,Description,Amount,Cashback
2024-10-19,Subscriptions,Cash,Fuel for transportation,180.99,0
2024-10-19,Healthcare,Debit Card,Subscription services for subscriptions,107.61,0
2024-10-19,Housing,Cash,Doctor visits for healthcare,546.23,0
2024-10-19,Subscriptions,Cash,Rent for housing,823.79,0
2024-10-20,Healthcare,UPI,Subscription services for subscriptions,744.68,0
2024-10-20,Healthcare,Debit Card,Doctor visits for healthcare,778.21,0
2024-10-20,Food,Cash,Doctor visits for healthcare,683.94,0
2024-10-20,Subscriptions,Cash,Groceries for food,1964.12,0
2024-10-20,Subscriptions,Debit Card,Subscription services for subscriptions,537.11,0
2024-10-21,Subscriptions,Cash,Subscription services for subscriptions,713.28,0
2024-10-21,Subscriptions,UPI,Subscription services for subscriptions,1974.03,0
2024-10-21,Food,UPI,Subscription services for subscriptions,1548.93,0
2024-10-21,Food,UPI,Groceries for food,942.41,0
2024-10-22,Entertainment,Debit Card,Groceries for food,477.45,0
2024-10-22,Housing,Cash,Movies for entertainment,271.89,0
2024-10-22,Healthcare,UPI,Rent for housing,1086.71,0
2024-10-22,Healthcare,UPI,Doctor visits for healthcare,1785.74,10
2024-10-22,Housing,UPI,Doctor visits for healthcare,1154.03,0
2024-10-23,Subscriptions,Cash,Rent for housing,757.92,0
2024-10-23,Transportation,UPI,Subscription services for subscriptions,1530.7,0
2024-10-23,Housing,Cash,Fuel for transportation,660.38,0
2024-10-23,Entertainment,Debit Card,Rent for housing,1044.14,0
2024-10-23,Subscriptions,UPI,Movies for entertainment,1867.14,0
2024-10-24,Transportation,Cash,Subscription services for subscriptions,921,0
2024-10-24,Healthcare,Cash,Fuel for transportation,1959.71,0
2024-10-24,Transportation,Cash,Doctor visits for healthcare,642.43,5
2024-10-24,Subscriptions,UPI,Fuel for transportation,1070.47,0
2024-10-24,Transportation,UPI,Subscription services for subscriptions,1843.82,0
2024-10-24,Food,Cash,Groceries for food,1335.74,0
2024-10-24,Food,UPI,Groceries for food,1868.74,0
2024-10-25,Food,UPI,Groceries for food,1723.22,0
2024-10-25,Entertainment,Debit Card,Movies for entertainment,782.11,0
2024-10-25,Entertainment,Cash,Movies for entertainment,1155.4,0
2024-10-25,Food,Debit Card,Groceries for food,686.51,0
2024-10-25,Healthcare,UPI,Doctor visits for healthcare,1588.24,0
2024-10-26,Transportation,Debit Card,Fuel for transportation,691.08,0
2024-10-26,Transportation,UPI,Fuel for transportation,418.25,0
2024-10-27,Subscriptions,UPI,Subscription services for subscriptions,248.33,0
2024-10-27,Healthcare,UPI,Doctor visits for healthcare,1298.83,3
