Date,Category,Payment mode,,Amount,Cashback
2024-11-15,Housing,Cash,Rent for housing,1173.64,0
2024-11-15,Housing,Debit Card,Rent for housing,1241.11,0
2024-11-15,Food,Debit Card,Groceries for food,917.48,0
2024-11-15,Food,Debit Card,Groceries for food,1468.72,0
2024-11-16,Healthcare,Debit Card,Doctor visits for healthcare,217.1,0
2024-11-16,Healthcare,Cash,Doctor visits for healthcare,950.7,0
2024-11-16,Subscriptions,UPI,Subscription services for subscriptions,587.68,0
2024-11-16,Transportation,Cash,Fuel for transportation,1716.18,0
2024-11-16,Food,Debit Card,Groceries for food,914.68,0
2024-11-17,Subscriptions,UPI,Subscription services for subscriptions,1033.98,0
2024-11-17,Healthcare,Debit Card,Doctor visits for healthcare,1533.77,0
2024-11-18,Food,Debit Card,Groceries for food,870.9,0
2024-11-18,Entertainment,UPI,Movies for entertainment,594.14,4
2024-11-18,Healthcare,UPI,Doctor visits for healthcare,760.53,0
2024-11-18,Healthcare,Debit Card,Doctor visits for healthcare,674.09,0
2024-11-19,Healthcare,Debit Card,Doctor visits for healthcare,1218.16,0
2024-11-21,Entertainment,Debit Card,Movies for entertainment,573.83,0
2024-11-21,Housing,UPI,Rent for housing,391.08,0
2024-11-21,Entertainment,Debit Card,Movies for entertainment,904.8,0
2024-11-22,Food,Cash,Groceries for food,353.15,0
2024-11-22,Food,UPI,Groceries for food,1152.96,10
2024-11-22,Housing,UPI,Rent for housing,1915.03,5
2024-11-23,Healthcare,UPI,Doctor visits for healthcare,610.09,0
2024-11-23,Transportation,UPI,Fuel for transportation,409.48,0
2024-11-23,Healthcare,Debit Card,Doctor visits for healthcare,1550.17,0
2024-11-23,Entertainment,Debit Card,Movies for entertainment,1589.08,0
2024-11-23,Housing,Debit Card,Rent for housing,473.81,0
2024-11-24,Healthcare,Debit Card,Doctor visits for healthcare,1267,0
2024-11-25,Subscriptions,Cash,Subscription services for subscriptions,156.71,0
2024-11-25,Food,Cash,Groceries for food,1234.19,0
2024-11-26,Housing,UPI,Rent for housing,1730.53,0
2024-11-26,Housing,UPI,Rent for housing,1141.57,0
2024-11-26,Housing,Cash,Rent for housing,1628.02,0
2024-11-26,Transportation,UPI,Fuel for transportation,1046.01,0
2024-11-26,Transportation,UPI,Fuel for transportation,840.86,0
2024-11-26,Subscriptions,Cash,Subscription services for subscriptions,201.49,0
2024-11-27,Housing,Debit Card,Rent for housing,563.26,0
2024-11-27,Transportation,Debit Card,Fuel for transportation,819.99,0
2024-11-27,Food,UPI,Groceries for food,1834.99,10
