Date,Category,Payment mode,Description,Amount,Cashback
2024-12-16,Entertainment,Cash,Movies for entertainment,1643.06,0
2024-12-16,Subscriptions,Debit Card,Subscription services for subscriptions,431.61,0
2024-12-16,Entertainment,Cash,Rent for housing,1328.48,0
2024-12-16,Housing,Cash,Movies for entertainment,1264.64,0
2024-12-16,Entertainment,Cash,Groceries for food,1424.44,0
2024-12-17,Food,UPI,Subscription services for subscriptions,921.09,0
2024-12-17,Subscriptions,UPI,Movies for entertainment,212.62,0
2024-12-17,Entertainment,Debit Card,Groceries for food,1693.87,0
2024-12-17,Subscriptions,UPI,Subscription services for subscriptions,792.65,0
2024-12-17,Food,Cash,Movies for entertainment,179.89,0
2024-12-17,Healthcare,Debit Card,Subscription services for subscriptions,923.24,0
2024-12-17,Food,UPI,Subscription services for subscriptions,1691.72,5
2024-12-18,Housing,Cash,Groceries for food,432.38,0
2024-12-18,Healthcare,Debit Card,Subscription services for subscriptions,1769.3,0
2024-12-19,Food,Debit Card,Doctor visits for healthcare,1678.4,0
2024-12-19,Entertainment,Debit Card,Movies for entertainment,892.52,0
2024-12-19,Subscriptions,Cash,Doctor visits for healthcare,282.23,0
2024-12-20,Entertainment,Cash,Groceries for food,1441.11,0
2024-12-20,Food,UPI,Subscription services for subscriptions,1845.7,0
2024-12-20,Entertainment,UPI,Rent for housing,1470.21,0
2024-12-21,Food,UPI,Rent for housing,1017.37,0
2024-12-21,Subscriptions,Cash,Fuel for transportation,1049.69,0
2024-12-21,Entertainment,Cash,Subscription services for subscriptions,1418.49,0
2024-12-21,Subscriptions,Cash,Fuel for transportation,553.55,0
2024-12-21,Subscriptions,Cash,Rent for housing,482.29,0
2024-12-21,Food,UPI,Fuel for transportation,1062.9,0
2024-12-21,Subscriptions,Cash,Groceries for food,1806.75,0
2024-12-22,Healthcare,Cash,Subscription services for subscriptions,385.79,0
2024-12-22,Entertainment,Debit Card,Movies for entertainment,585.71,0
2024-12-23,Healthcare,Cash,Rent for housing,1419.13,0
2024-12-23,Food,Debit Card,Subscription services for subscriptions,742.31,0
2024-12-23,Subscriptions,Cash,Groceries for food,360.9,0
2024-12-23,Housing,UPI,Rent for housing,1433.57,3
2024-12-23,Housing,UPI,Movies for entertainment,1943.65,0
2024-12-23,Transportation,Debit Card,,844.2,0
2024-12-24,Subscriptions,Cash,,369.67,0
2024-12-25,Transportation,Cash,,241.95,0
2024-12-25,Housing,UPI,,1326.84,0
2024-12-26,Transportation,UPI,,1568.73,0
2024-12-26,Food,Debit Card,,1737.79,0
2024-12-26,Subscriptions,Debit Card,,316.21,0
2024-12-27,Entertainment,Debit Card,,1055.09,0
2024-12-27,Housing,Debit Card,,877.25,0
2024-12-27,Subscriptions,Debit Card,,1952.01,0
2024-12-27,Food,UPI,,1113,3
2024-12-27,Housing,Debit Card,,865.24,0
2024-12-27,Entertainment,UPI,,1615.88,0
